,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Dywen,4,0.003095975,0,6,0.000324751,0.008542926,0
Ebben,4,0.003115265,0.333333333,6,0.001035565,0.005027604,0
Eddard-Stark,2,0.00310559,0,6,0.00064121,0.740452781,1
Eddison-Tollett,5,0.003412969,10.71920465,6,0.000430526,0.026059971,0
Edmure-Tully,6,0.003584229,223.2348268,6,0.000312001,0.078338349,0
Edric-Storm,1,0.00210084,0,6,0.000599178,0.006530361,0
Edwyn-Frey,2,0.002808989,0,7,0.00159731,0.005626615,1
Elder-Brother,4,0.003521127,2.6254329,7,0.002083663,0.000677414,0
Eldon-Estermont,2,0.003164557,0,7,0.00031696,1.10E-05,0
Elia-Martell,7,0.003731343,6.400940824,7,0.00025857,0.016524602,0
Elinor-Tyrell,4,0.002949853,0.375746606,7,0.00078409,0.005126974,0
Ellaria-Sand,5,0.003484321,16.67748923,7,0.000331787,0.008808296,0
Elmar-Frey,6,0.003322259,0,6,0.000220783,0.014635329,1
Emmett,4,0.003311258,0,6,0.000392266,0.007642847,0
Emmon-Cuy,1,0.002358491,0,7,0.000535667,0.002276375,0
Emmon-Frey,4,0.00255102,0.333333333,7,0.000231327,0.007305238,1
Emrick,1,0.002531646,0,7,0.00155227,0.00010117,0
Eon-Hunter,1,0.002531646,0,7,0.00243935,0.001873289,0
Errok,1,0.002531646,0,6,0.016720324,0.00194551,0
Euron-Greyjoy,1,0.002531646,0,7,0.000597484,0.00180946,0
Falyse-Stokeworth,1,0.002358491,0,7,0.000812566,0.014941307,0
Farlen,1,0.002358491,0,7,0.000547601,0.000798634,0
Florian-the-Fool,1,0.003067485,0,7,0.000300826,0.002267507,0
Fogo,2,0.002840909,0,8,0.000220023,7.92E-07,0
Franklyn-Flowers,7,0.003546099,6.10676519,7,0.007373233,0.000311613,0
Frenya,3,0.003154574,0,7,0.003625629,0.00040864,0
Fulk,1,0.003067485,0,6,0.000496164,0.00190859,0
Galazza-Galare,5,0.003125,1.466666667,7,0.000778986,0.002594174,0
Galbart-Glover,2,0.003076923,0,6,0.00034614,0.007854941,0
Galyeon-of-Cuy,1,0.002604167,0,7,0.002301441,0.003145355,0
Gared,2,0.003215434,0,6,0.000343224,0.000549742,0
Garin-(orphan),3,0.003246753,0,7,0.000289102,0.000690231,0
Gariss,2,0.003225806,0,8,0.000224238,4.07E-07,0
Garlan-Tyrell,3,0.003289474,0,7,0.000834508,0.029234996,0
Garrett-Paege,1,0.00310559,0,7,0.000533772,0.001775769,0
Garth-(Wolfs-Den),2,0.003215434,0,7,0.000278577,0.000343463,0
Garth-Greyfeather,1,0.003205128,0,6,0.000248605,0.00141198,0
Gawen-Westerling,5,0.003676471,25.72425801,7,0.000233564,6.86E-05,0
Gendel,4,0.003703704,0,6,0.015232918,0.001401474,0
Gendry,3,0.003236246,0,6,0.00081474,0.043305309,0
Genna-Lannister,1,0.002469136,0,7,0.00041059,0.005306846,0
Gerold-Dayne,19,0.004587156,443.0135843,7,0.001100033,0.001257374,0
Gerold-Grafton,6,0.003831418,3.495468214,9,0.002095285,5.05E-07,0
Gerold-Hightower,4,0.002695418,105,6,0.000255738,0.008768083,0
Gerrick-Kingsblood,6,0.003194888,3.389760739,6,0.000220606,0.002328466,0
Gerris-Drinkwater,14,0.003968254,350.6873758,7,0.005212162,0.002344221,0
Gilly,7,0.003663004,8.556744846,6,0.000587243,0.033686509,0
Gilwood-Hunter,4,0.003257329,0.583333333,7,0.00446216,0.000509019,0
Godry-Farring,8,0.003546099,26.30650391,6,0.000215347,0.005725451,0
Goghor-the-Giant,18,0.004166667,272.161237,8,0.002869167,8.47E-05,0
Gormon-Tyrell,20,0.0041841,148.843899,9,0.00110902,6.10E-10,0
Gorne,5,0.003134796,105,6,0.001518524,0.001401474,0
Gorold-Goodbrother,4,0.00255102,0.333333333,8,0.000547523,4.18E-05,0
Grazdan-mo-Eraz,14,0.003448276,874.8372111,8,0.000332519,3.08E-06,1
Grazhar,5,0.003134796,312,7,0.000452308,0.000410661,0
Greenbeard,12,0.004347826,107.6349826,7,0.000245548,0.004222723,0
Gregor-Clegane,3,0.00310559,0,6,0.000741937,0.127630204,0
Grenn,8,0.003496503,35.15540317,6,0.000756021,0.045420122,1
Gretchel,4,0.003144654,0,7,0.000257157,0.002472694,0
Grey-Worm,4,0.003125,0,7,0.000494908,0.003394289,0
Grigg,12,0.003802281,32.7217293,6,0.001729903,0.002378524,0
Grimtongue,4,0.003194888,12.20809267,7,0.001929448,5.87E-05,0
Grisel,3,0.002967359,1.35025641,7,0.000539317,0.001114617,0
Groleo,4,0.00255102,1,7,0.000648561,0.002014205,0
