,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Marghaz-zo-Loraq,1,0.002469136,0,8,0.000278577,7.70E-05,0
Mebble,19,0.004587156,443.0135843,8,0.000248605,0.000143005,0
Sigfryd-Harlaw,6,0.003831418,3.495468214,8,0.000233564,5.07E-07,0
Joy-Hill,4,0.002695418,105,7,0.015232918,0.001775769,0
Lewys-Piper,6,0.003194888,3.389760739,7,0.00081474,0.001775769,0
Ronnet-Connington,14,0.003968254,350.6873758,7,0.00041059,0.002693177,0
Shitmouth,7,0.003663004,8.556744846,7,0.001100033,0.001775769,0
Tysha,4,0.003257329,0.583333333,7,0.002095285,0.016321231,0
Urswyck,8,0.003546099,26.30650391,7,0.000255738,0.006511151,0
Wylis-Manderly,18,0.004166667,272.161237,7,0.000220606,0.002900859,0
Zollo,20,0.0041841,148.843899,7,0.005212162,0.001905555,0
Nyessos-Vhassar,5,0.003134796,105,7,0.000587243,0.000163828,0
Matthar,4,0.00255102,0.333333333,6,0.00446216,0.001397065,0
Othor,14,0.003448276,874.8372111,6,0.000215347,0.002328442,0
Soren-Shieldbreaker,5,0.003134796,312,6,0.002869167,0.001397065,0
Tom-Barleycorn,12,0.004347826,107.6349826,6,0.00110902,0.001862754,0
Ulmer,3,0.00310559,0,6,0.001518524,0.001397065,0
Wun-Weg-Wun-Dar-Wun,8,0.003496503,35.15540317,6,0.000547523,0.00543267,1
Zei,4,0.003144654,0,6,0.000332519,0.001397065,0
Willem-Lannister,4,0.003125,0,6,0.000452308,0.001767153,0
Softfoot,12,0.003802281,32.7217293,7,0.000245548,9.04E-06,0
Urzen,4,0.003194888,12.20809267,7,0.000741937,0.000402289,0
Torwold-Browntooth,3,0.002967359,1.35025641,9,0.000756021,6.41E-10,0
Trystane-Martell,4,0.00255102,1,7,0.000257157,0.001601955,0
Yezzan-zo-Qaggaz,24,0.004524887,556.1852523,7,0.000494908,0.018616815,0
Quill,6,0.003731343,131.1036732,8,0.001729903,7.76E-08,0
Rosey,18,0.004149378,141.5407634,8,0.001929448,1.74E-07,0
Shortear,4,0.00295858,2.261904762,8,0.000539317,1.88E-06,0
Ragwyle,26,0.004524887,1279.753353,7,0.000648561,0.000125581,0
Xhondo,2,0.003257329,3.20799062,7,0.000501595,0.00297975,0
Yellow-Dick,6,0.002717391,12.96584412,7,0.000716319,0.000896018,0
Rollam-Westerling,6,0.003584229,106.9588272,6,0.00043193,0.001936577,0
Torbert,9,0.003676471,21.0398865,8,0.000413608,1.24E-05,0
Steffon-Baratheon,5,0.003164557,3.673192663,6,0.001229904,0.002196374,0
Rugen,2,0.002808989,0,8,0.000280012,5.59E-06,0
Rolph-Spicer,10,0.003703704,84.67234484,6,0.000589354,0.002396734,0
Tristifer-IV-Mudd,12,0.003378378,40.49072503,6,0.0008306,0.00143804,0
Walda-Frey-(daughter-of-Merrett),5,0.003194888,11.08691003,7,0.001296439,0.00066962,1
Theobald,4,0.003460208,47.90724047,7,0.001146709,0.001157692,0
Ulf-son-of-Umar,7,0.003412969,1.441374269,8,0.000916235,0.000147474,0
William-Foxglove,2,0.002538071,0,6,0.000432125,0.001254069,0
Werlag,4,0.003508772,3.470318304,7,0.001859237,0.000401005,0
Willow-Witch-eye,7,0.003333333,108.9634921,7,0.003806192,0.000532422,0
Wulfe,5,0.003558719,4.651775284,8,0.001044808,6.34E-06,0
